variable,label,
start,,
end,,
today,,
username,,
deviceid,,
phonenumber,,
audit,,
meta_data,,
surveyor,Name of Surveyor,
unique_id,Enter CMID of Community Member ,
invalid_id,⚠️ CMID not found. Please check and re-enter.,
show_details,"Respondent: ${community_member} 
Organisation: ${org_name} 
Contact Person: ${contact_name} 
Veeraa Leader: ${leader_name}
Phone Number: ${phone_number}
Phone Belongs to: ${phone_belongs}
Activity Name: ${activity_name}
Area: ${urban_rural}
Work: ${descr_of_work}",
call_attempt,Call Attempt Number,
call_status ,Status of call,
main_survey ,Survey Starts,
confirm_respondent,1. Hello am I speaking to ${community_member}?,
give_phone ,1.1 Can you please give the phone to ${community_member}?,
have_correct_number,1.2 Do you have their number or a number of their family member?,
end_survey_wrongno,"Okay, sorry for disturbing you. Thank you",
correct_number,1.3 Please share their correct number with me ,
end_survey_correctno,Thank you for sharing their number. Bye,
availabletotalk,2. Are you available to talk now?,
callbackconsent,2.1. Can I call you back?,
know_vl,"3.1 To confirm, do you know ${leader_name}?",
know_org,3.2 Do you know ${org_name}?,
know_contact,3.3 Do you know ${contact_name}?,
dontknowvl,"3.4 Are you sure? As per our information, ${leader_name}, ${contact_name}, ${org_name} works on ${descr_of_work} in your community. Have you ever engaged with anyone around this area of work? ",
name_contact,3.4.1 Who leads this work? Please tell their name,
note_for_surveyor,"[FOR SURVEYOR] Please use the name of ${name_contact} in all future questions instead of ${leader_name}, ${contact_name}, ${org_name}",
clarify_respondent,3.4.2 Thank you for sharing. We will ask you questions about your experience with ${name_contact} on ${descr_of_work} going forward,
consent,"4.1 If this sounds okay, can we proceed?   ",
noconsent_surveyend,No worries. We will not continue with the survey. Thank you,
survey_recorded,[FOR SURVEYOR] Does this survey need to be recorded?,
consent_recording,"4.2 We are recording this survey so we can remember your responses, but will only continue with the recording if you give your consent. Are you okay with us recording? If not, we will stop the recording and proceed with the survey",
respondent_gender,"5. [FOR SURVEYOR] Record sex of respondent. If not clear from voice or name, ask ",
respondent_age,6. What is your age?,
speak_to_adult,"6.1 Can we please speak to your parents or any other adult who can share more about your experience with ${leader_name}, ${contact_name}, ${org_name}?",
adult_number,6.2. Please share their number,
askforchild,"[SURVEYOR NOTE] For all future questions, ask them about their child's experiences. Change the questions based on this",
confirm_panchayat,7.1 Is it correct that your panchayat name is ${panchayat_locality}?,
correct_village,7.3 Can you share the correct name of your panchayat?,
confirm_locality,7.1 Is it correct that your locality name is ${panchayat_locality}?,
correct_locality,7.3 Can you share the correct name of your locality?,
confirm_district,7.2 Is it correct your district name is ${district_city}?,
correct_district,7.4 Can you share the correct name of your district?,
confirm_city,7.2 Is it correct your city name is ${district_city}?,
correct_city,7.4 Can you share the correct name of your city?,
panchayat_name,7.1 Can you share the name of the panchayat you currently live in?,
district_name,7.2 Can you share the name of the district you currently live in?,
locality_name,7.1 Can you share the name of the locality you currently live in?,
city_name,7.2 Can you share the name of the city you currently live in?,
part_activity,"8. Have you ever participated in any activity conducted by ${leader_name}, ${contact_name}, ${org_name} or received support from them?",
child_part_activity,"8. Has ${community_member} ever participated in any activity conducted by ${leader_name}, ${contact_name}, ${org_name} or received support from them?",
family_participated,"9. Is there anyone else in your household or family who has participated in any activity or received support from them, such as a child, spouse, sibling? ",
both_me_family,9.1 Please respond to the questions based on both your and your family member's experiences ,
only_family,9.1 Please respond to the questions based on the experiences of your family members ,
time_since_contact,"10. Roughly how many months has it been since you were last in touch with ${leader_name}, ${contact_name}, ${org_name} either in person or on the phone? ",
active_community,,
frequency_engagement,"11. On average, how frequently do you have contact with  ${leader_name}, ${contact_name} and their organisation in one year, either over the phone or in-person?",
depth1,"12. I will read out some statements about your experience with ${leader_name}, ${contact_name}, ${org_name}. Please select a statement that best matches your experience. I will start reading now. Which statement do you agree with?",
depth1_reason,12.1 Can you explain why?,
impact_areas,"13. In what areas of your life has ${leader_name}, ${contact_name}, ${org_name} helped you? What benefits have you received (such as education, health, income, access to government schemes), but also what has changed in how you live your life (such as confidence, relationship with your community, freedom)?",
impact_other,13.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_educ,"14.1 Education and skilling 
In what specific ways has ${leader_name}, ${contact_name}, ${org_name} helped you in the area of education and skilling? Please list in brief. ",
educ_other,14.1.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_aware,"14.2 Awareness and knowledge
After linking up with ${leader_name}, ${contact_name}, ${org_name} on what topics do you consider yourself more aware? Please list in brief. ",
aware_other,14.2.2. [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_health,"14.3 Health and Nutrition
In what specific ways ${leader_name}, ${contact_name}, ${org_name} helped improve your or your family's health and nutrition? Please list in brief. ",
health_other,14.3.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_income,"14.4 Income or employment
What change has occurred in your or your household's income or employment since joining ${leader_name}, ${contact_name}, ${org_name} 's Community? Please list in brief. ",
income_other,14.4.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_finance,"14.5 Financial access 
In what specific ways has ${leader_name}, ${contact_name}, ${org_name} helped you in the area of savings, credit or financial access? Please list in brief. ",
finance_other,14.5.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_harm,"14.6 Protection from harm, violence discrimination
In what specific ways has ${leader_name}, ${contact_name}, ${org_name} helped protect you or someone in your household from harm, violence or discrimination? Please list in brief. ",
harm_other,14.6.1 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_confidence_yn,"14.7 Confidence, freedom and leadership 
Since joining ${leader_name}, ${contact_name}, ${org_name} do you feel more confident, free or capable of leading? ",
impact_confidence,14.7.1 Can you elaborate on what has changed in your life?,
confidence_other,14.7.2 [FOR SURVEYOR] What are the other areas in which the Leader has supported them that is not covered in this list?,
impact_govt_access,"14.8 Access to rights, government schemes and justice

In what specific ways has ${leader_name}, ${contact_name}, ${org_name} helped you or your household access government schemes, documents or legal rights? Please list in brief. ",
